Content,Tweet,text,compound,polarity
jakarta aja kalah calon gubernus nya waktu ahokilir,"['tuju', 'bang', 'zulkifli', 'ms', 'bawaslu', 'kpu', 'sdh', 'masalah', 'khawatir', 'dgn', 'jalan', 'milu', '2024']",tuju bang zulkifli ms bawaslu kpu sdh masalah khawatir dgn jalan milu 2024,-9,negative
weet spt ini mungkin cukup berpengaruh utk para calon pemilih di emilu  nanti ð,"['bspn', 'pdi', 'juang', 'sidoarjo', 'serap', 'masuk', 'pac', 'milu', '2024', 'barbie', 'pdiperjuangan']",bspn pdi juang sidoarjo serap masuk pac milu 2024 barbie pdiperjuangan,-3,negative
lite  esimis oalisi esar emilu  akal erwujud ernyata enghalangnya niâ¦,"['jelang', 'milu', '2024', 'pengaruh', 'hoaks', 'milu', '2024sesuaitahapan', 'tolakpenundaanpemiluantipolitikidentitas', 'tolakpolitikmasjidpemilu', '2024', 'pilpres', '2024', 'capres', '2024kpu', 'bawaslu', 'indonesiamaju']",jelang milu 2024 pengaruh hoaks milu 2024sesuaitahapan tolakpenundaanpemiluantipolitikidentitas tolakpolitikmasjidpemilu 2024 pilpres 2024 capres 2024kpu bawaslu indonesiamaju,4,positive
emilu  abupaten emak,"['netralitas', 'asn', 'milu', '2024tidakadapenundaanpemilu', 'milu', '2024tepatwaktu', 'pemilukondusif']",netralitas asn milu 2024tidakadapenundaanpemilu milu 2024tepatwaktu pemilukondusif,0,neutral
alut leno  emilu  umlah emilihnya  lewat almahera,"['mendagrit', 'tito', 'karnavian', 'perintah', 'dukung', 'penuh', 'tahap', 'milu', '2024tidakadapenundaanpemilu', 'milu', '2024tepatwaktu', 'pemilukondusif']",mendagrit tito karnavian perintah dukung penuh tahap milu 2024tidakadapenundaanpemilu milu 2024tepatwaktu pemilukondusif,4,positive
ounsellor ungsi olitik osial dan udaya  ttawa menggarisbawahi dukungan penuh ubes  anada dan seluruh komponen  ttawa atas suksesnya penyelenggaraan rangkaian emilu,"['kuwu', 'asn', 'netral', 'milu', '2024', 'dipidanapemilu', '2024sesuaitahapan', 'tolakpenundaanpemilu', 'antipolitikidentitas', 'tolakpolitikmasjid', 'milu', '2024', 'pilpres', '2024', 'capres', '2024', 'kpu', 'bawaslu', 'indonesiamaju']",kuwu asn netral milu 2024 dipidanapemilu 2024sesuaitahapan tolakpenundaanpemilu antipolitikidentitas tolakpolitikmasjid milu 2024 pilpres 2024 capres 2024 kpu bawaslu indonesiamaju,0,neutral
etua  ttawa dalam sesi pembukaan bersama dengan ounsellor ungsi olitik osial dan udaya  ttawa menyampaikan kata sambutan alam sambutannya etua  ttawa memberikan apresiasi atas kinerja antarlih  ttawa didalam penyusunan  emilu,"['jelang', 'milu', '2024', 'pengaruh', 'hoakspemilu', '2024sesuaitahapan', 'tolakpenundaanpemilu', 'antipolitikidentitas', 'tolakpolitikmasjid', 'milu', '2024', 'pilpres', '2024', 'capres', '2024', 'kpu', 'bawaslu', 'indonesiamaju']",jelang milu 2024 pengaruh hoakspemilu 2024sesuaitahapan tolakpenundaanpemilu antipolitikidentitas tolakpolitikmasjid milu 2024 pilpres 2024 capres 2024 kpu bawaslu indonesiamaju,4,positive
ada  pril  bertempat di uang apat   ttawa  ttawa telah menyelenggarakan apat leno erbuka untuk ekapitulasi dan enetapan   emilu  secara hybrid pada pukul,"['bawaslu', 'ri', 'ingat', 'parpol', 'serta', 'milu', '2024', 'laku', 'politik', 'transaksionalpemilu', '2024sesuaitahapan', 'tolakpenundaanpemilu', 'antipolitikidentitas', 'tolakpolitikmasjid', 'milu', '2024', 'pilpres', '2024', 'capres', '2024', 'kpu', 'bawaslu', 'indonesiamaju']",bawaslu ri ingat parpol serta milu 2024 laku politik transaksionalpemilu 2024sesuaitahapan tolakpenundaanpemilu antipolitikidentitas tolakpolitikmasjid milu 2024 pilpres 2024 capres 2024 kpu bawaslu indonesiamaju,0,neutral
erikut kami sampaikan erita cara  dalam emilu,"['bawaslu', 'hak', 'wajib', 'warga', 'negara', 'jelang', 'milu', '2024pemilu2024sesuaitahapan', 'tolakpenundaanpemilu', 'antipolitikidentitas', 'tolakpolitikmasjid', 'milu', '2024', 'pilpres', '2024', 'capres', '2024', 'kpu', 'bawaslu', 'indonesiamaju']",bawaslu hak wajib warga negara jelang milu 2024pemilu2024sesuaitahapan tolakpenundaanpemilu antipolitikidentitas tolakpolitikmasjid milu 2024 pilpres 2024 capres 2024 kpu bawaslu indonesiamaju,1,positive
ota enpasar mengikuti imbingan eknis enanganan elanggaran dministratif dan enyelesaian engketa roses emilu,"['temanpemilih', 'kpu', 'provinsi', 'lampung', 'terima', 'kasih', 'jajar', 'pps', '2651', 'kelurahandesa', 'ppk', '229', 'camat', '15', 'kpu', 'kabupatenkota', 'provinsi', 'lampung', 'sukses', 'selenggara', 'rapat', 'pleno', 'buka', 'rekapitulasi', 'dphp', 'tetap', 'dps', 'milu', '2024']",temanpemilih kpu provinsi lampung terima kasih jajar pps 2651 kelurahandesa ppk 229 camat 15 kpu kabupatenkota provinsi lampung sukses selenggara rapat pleno buka rekapitulasi dphp tetap dps milu 2024,10,positive
kpubali,"['milu', '2024', 'laksana', 'sesuai', 'jadwal', 'milu', '2024']",milu 2024 laksana sesuai jadwal milu 2024,3,positive
ebih baik  gk mencalonkan diri untuk saat ini lebih baik menunggu setelah pemilu  sebagai pembuktian bahwa dia maju dengan gagasannya bukan karena putra pak okowi,"['mari', 'aktif', 'jaga', 'situasi', 'kondusif', 'lancar', 'milu', '2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024']",mari aktif jaga situasi kondusif lancar milu 2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024,3,positive
uk simak bersama,"['kepala', 'daerah', 'netral', 'milu', '2024tidakadapenundaanpemilu', 'milu', '2024tepatwaktu', 'pemilukondusif']",kepala daerah netral milu 2024tidakadapenundaanpemilu milu 2024tepatwaktu pemilukondusif,0,neutral
etua   memastikan bahwa elaksanaan emilu tidak ada penundaan dan dilakukan sesuai jadwal,"['kpubawaslu', 'partai', 'politik', 'suara', 'gera', 'rakyat', 'antisipasi', 'ganggu', 'masyarakat', 'jelang', 'milu', '2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju']",kpubawaslu partai politik suara gera rakyat antisipasi ganggu masyarakat jelang milu 2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju,1,positive
ang kontra pun bukan krn nyadar ada permenlu itu emang udah bawaan sentimen dan nimbang pemilu  taunya malah blunder sendiri,"['temanpemilih', 'hasil', 'rekapitulasi', 'daftar', 'pilih', 'dps', 'kabupaten', 'purworejo', 'milu', '2024', 'yuk', 'cek', 'nama']",temanpemilih hasil rekapitulasi daftar pilih dps kabupaten purworejo milu 2024 yuk cek nama,-1,negative
rawan banget politik identitas,"['prabowo', 'subianto', 'tunda', 'milu', '2024', 'akal', 'surya', 'paloh', 'sepakat', 'prabowodanolahraga', 'bangkitbersama', 'setyoko', '2024']",prabowo subianto tunda milu 2024 akal surya paloh sepakat prabowodanolahraga bangkitbersama setyoko 2024,4,positive
olitik dentitas,"['mari', 'aktif', 'jaga', 'situasi', 'kondusif', 'lancar', 'milu', '2024pemilu2024sesuaitahapan', 'tolakpenundaanpemilu', 'antipolitikidentitas', 'tolakpolitikmasjid', 'milu', '2024', 'pilpres', '2024', 'capres', '2024', 'kpu', 'bawaslu', 'indonesiamaju']",mari aktif jaga situasi kondusif lancar milu 2024pemilu2024sesuaitahapan tolakpenundaanpemilu antipolitikidentitas tolakpolitikmasjid milu 2024 pilpres 2024 capres 2024 kpu bawaslu indonesiamaju,3,positive
angan ragu untuk melaporkan,"['kpu', 'bawaslu', 'partai', 'politik', 'suara', 'gera', 'rakyat', 'antisipasi', 'timbul', 'ganggu', 'masyarakat', 'jelang', 'milu', '2024pemilu2024sesuaitahapan', 'tolakpenundaanpemilu', 'antipolitikidentitas', 'tolakpolitikmasjid', 'milu', '2024', 'pilpres', '2024']",kpu bawaslu partai politik suara gera rakyat antisipasi timbul ganggu masyarakat jelang milu 2024pemilu2024sesuaitahapan tolakpenundaanpemilu antipolitikidentitas tolakpolitikmasjid milu 2024 pilpres 2024,-2,negative
ateng dan atim siap mendukung emerintahan ak okowi sampai pemilu g mau bikin rusuh di ateng dan atim silakan monggo di cobak,"['milu', '2024', 'laksana', 'sesuai', 'jadwal', 'konstitusional', 'aman', 'damaipemilu', '2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju']",milu 2024 laksana sesuai jadwal konstitusional aman damaipemilu 2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju,3,positive
aftar emilih ementara emilu  ota erang  emilih,"['bawaslu', 'partai', 'politik', 'suara', 'gera', 'rakyat', 'antisipasi', 'timbul', 'ganggu', 'masyarakat', 'jelang', 'milu', '2024', 'milu', '2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpu']",bawaslu partai politik suara gera rakyat antisipasi timbul ganggu masyarakat jelang milu 2024 milu 2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpu,-2,negative
menggelar apat leno erbuka yang membahas ekapitulasi aftar emilih asil emutakhiran  ingkat esa pada emilu  ertempat di antor ekretariat  esa agul ang hadiri oleh  anwas ecamatan  erwakilan arpol serta habinkamtibmas,"['kuwu', 'asn', 'netral', 'milu', '2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju']",kuwu asn netral milu 2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju,0,neutral
apat enetapan  emilu  di otim iwarnai ksi alk ut awaslu,"['mari', 'dukung', 'asn', 'netral', 'milu', '2024', 'jurdil', 'tidakadapenundaanpemilu', 'milu', '2024tepatwaktu', 'pemilukondusif']",mari dukung asn netral milu 2024 jurdil tidakadapenundaanpemilu milu 2024tepatwaktu pemilukondusif,7,positive
unia angit ap,"['mudah', 'percaya', 'kabar', 'hoax', 'milu', '2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju']",mudah percaya kabar hoax milu 2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju,-1,negative
min,"['amplop', 'said', 'pdip', 'aman', 'bawaslu', 'ray', 'rangkut', 'kualitas', 'milu', '2024', 'khawatir']",amplop said pdip aman bawaslu ray rangkut kualitas milu 2024 khawatir,3,positive
apat leno erbuka  pada emilu  tkt,"['jelang', 'milu', '2024', 'mudah', 'pengaruh', 'isu', 'hoakspemilu', '2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju']",jelang milu 2024 mudah pengaruh isu hoakspemilu 2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju,6,positive
kpudemakkab,"['kpu', 'bawaslu', 'partai', 'politik', 'suara', 'gera', 'rakyat', 'antisipasi', 'timbul', 'ganggu', 'masyarakat', 'jelang', 'milu', '2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitas']",kpu bawaslu partai politik suara gera rakyat antisipasi timbul ganggu masyarakat jelang milu 2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitas,-2,negative
aktu  abu,"['waspada', 'politik', 'transaksional', 'jelang', 'milu', '2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju']",waspada politik transaksional jelang milu 2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju,2,positive
empat  ula ecamatan emak,"['bawaslu', 'ri', 'ingat', 'parpol', 'serta', 'milu', '2024', 'laku', 'politik', 'transaksionaliknpemerataanekonomi', 'milu', '2024sesuaitahapan', 'tolakpenundaanpemilu', 'antipolitikidentitastolakpolitikmasjid', 'milu', '2024', 'pilpres', '2024', 'capres', '2024', 'kpu', 'bawaslu', 'indonesiamaju']",bawaslu ri ingat parpol serta milu 2024 laku politik transaksionaliknpemerataanekonomi milu 2024sesuaitahapan tolakpenundaanpemilu antipolitikidentitastolakpolitikmasjid milu 2024 pilpres 2024 capres 2024 kpu bawaslu indonesiamaju,0,neutral
yukur sebelum emilu  alan kita tahu kualitas dirinya,"['aparatur', 'sipil', 'negara', 'netral', 'milu', '2024pemilu2024sesuaitahapan', 'tolakpenundaanpemilu', 'antipolitikidentitastolakpolitikmasjid', 'milu', '2024', 'pilpres', '2024', 'capres', '2024', 'kpu', 'bawaslu', 'indonesiamaju']",aparatur sipil negara netral milu 2024pemilu2024sesuaitahapan tolakpenundaanpemilu antipolitikidentitastolakpolitikmasjid milu 2024 pilpres 2024 capres 2024 kpu bawaslu indonesiamaju,0,neutral
ai encinta dan pendukung pak okowi mari buktikan bersamaÂ² jika pendukung pak okowi itu lbh banyak daripada pendukung partai pd emilu  ini unjukkan agar artai lite  tdk mengangkat dagunya tinggiÂ² ckp sdhpak okowi direndahkan ol mereka,"['antisipasi', 'timbul', 'ganggu', 'masyarakat', 'jelang', 'milu', '2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju']",antisipasi timbul ganggu masyarakat jelang milu 2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju,-2,negative
aki amp perempuan dewasa bukan muhrim berhubungan intim tiap hari hgg ketahap puncak tentu tak bisa dibilang pelecehan pasti suka sama suka alau hubungan tsb diharamkan agama itu soal lain asalahnya mrk tdk selayaknya begitu krn berposisi penyelenggara amp peserta pemilu,"['mukena', 'gratis', 'susaningtyas', 'kertopati', 'warga', 'doa', 'perindo', 'menang', 'milu', '2024', 'lengkapcepatberitanya', 'beritaterkini']",mukena gratis susaningtyas kertopati warga doa perindo menang milu 2024 lengkapcepatberitanya beritaterkini,3,positive
gn sampai ada pemenang karena hasil kejahatan atau curang,"['mari', 'awas', 'aktor', 'politik', 'jelang', 'pesta', 'demokrasi', 'milu', '2024', 'milu', '2024sesuaitahapan', 'tolakpenundaanpemilu', 'antipolitikidentitas', 'tolakpolitikmasjid', 'milu', '2024', 'pilpres', '2024', 'capres', '2024', 'kpu', 'bawaslu', 'indonesiamaju']",mari awas aktor politik jelang pesta demokrasi milu 2024 milu 2024sesuaitahapan tolakpenundaanpemilu antipolitikidentitas tolakpolitikmasjid milu 2024 pilpres 2024 capres 2024 kpu bawaslu indonesiamaju,10,positive
gn sampai negara kita dipimpin oleh pemimpin pelaku urang atau pelaku kejahatan,"['aparatur', 'negara', 'netral', 'selenggara', 'milu', '2024', 'perrpu', 'milu', '2024', 'sah', 'undang', 'undang', 'laksana', 'milu', 'jalan', 'sesuai', 'tahap', 'tidakadapenundaanpemilu', 'milu', '2024tepatwaktu', 'pemilukondusif']",aparatur negara netral selenggara milu 2024 perrpu milu 2024 sah undang undang laksana milu jalan sesuai tahap tidakadapenundaanpemilu milu 2024tepatwaktu pemilukondusif,10,positive
pemilu  tp pak ketua udah curi start coblos duluanð¡,"['asn', 'netral', 'jelang', 'milu', '2024']",asn netral jelang milu 2024,3,positive
emarang sebut ada penambahan  ribuan pemilih pada emilu,"['tdk', 'kesah', 'catat', 'aja', 'dr', 'partai', 'dampak', 'milu', '2024', 'negara', 'selamat', 'dr', 'bahaya', 'korupsi', 'bangsa', 'martabat', 'maju']",tdk kesah catat aja dr partai dampak milu 2024 negara selamat dr bahaya korupsi bangsa martabat maju,1,positive
ungkin untuk    dan lainlain,"['tranparansi', 'komitmen', 'awal', 'dana', 'janggal', '349tdan', 'dorong', 'bentuk', 'pansus', 'teran', 'benderangpsi', 'dukung', 'baik', 'sistem', 'awas', 'kemenkeu', 'ulang', 'lagisemoga', 'psi', 'milu', '2024']",tranparansi komitmen awal dana janggal 349tdan dorong bentuk pansus teran benderangpsi dukung baik sistem awas kemenkeu ulang lagisemoga psi milu 2024,7,positive
palagi kalo sampe perpanjangan periode,"['perrpu', 'milu', '2024', 'sah', 'undang', 'undang', 'laksana', 'milu', 'jalan', 'sesuai', 'tahap', 'aparatur', 'negara', 'netral', 'selenggara', 'milu', '2024', '2tidakadapenundaanpemilu', 'milu', '2024tepatwaktu', 'pemilukondusif']",perrpu milu 2024 sah undang undang laksana milu jalan sesuai tahap aparatur negara netral selenggara milu 2024 2tidakadapenundaanpemilu milu 2024tepatwaktu pemilukondusif,10,positive
nggak jual diri hanya utk srael tapi  tdk mau idun   dijadikan panggung emilu    itu cerdas bule gitu lho nggak sekerdil rezim,"['milu', '2024', 'jalan', 'sesuai', 'rencana']",milu 2024 jalan sesuai rencana,1,positive
kankah suara  tergerus pada emilu  ini jika skenario spt ini,"['jelang', 'milu', '2024', 'bawaslu', 'hak', 'wajib', 'warga', 'negarapemilu', '2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju']",jelang milu 2024 bawaslu hak wajib warga negarapemilu 2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju,1,positive
emua itu akibat ambisi orang perorang dan partai yang ingin dibilang nasionalis spy mendapat simpati masyarakat utamanya dlm rangka menghadapi pemilu  tanpa pikir panjang alias ceroboh ini masyarakat luas sudah faham semuanya trik kotor kontra produktif ulah kalian,"['bacaleg', 'dpri', 'irwana', 'marta', 'hadir', 'rapat', 'konsolidasi', 'menang', 'milu', '2024']",bacaleg dpri irwana marta hadir rapat konsolidasi menang milu 2024,-1,negative
emilu  ota idore epulauan eningkat apai  ibu ebih,"['milu', '2024', 'libur', 'nasional', 'swasta', 'wajib', 'longgar', 'ataudipidana']",milu 2024 libur nasional swasta wajib longgar ataudipidana,4,positive
asihan anjar ditinggalkan,"['warning', 'kuwu', 'asn', 'netral', 'si', 'milu', '2024', 'sanksi', 'dipidanapemilu', '2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju']",warning kuwu asn netral si milu 2024 sanksi dipidanapemilu 2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju,0,neutral
emilu   abupaten emarang iapkan   di  mbarawa â,"['pecah', 'belah', 'bangsa', 'milu', '2024', 'tokohtokoh', 'satu', 'bangsa', 'prabowo', 'prabowopemersatubangkitbersamaprabowosubianto']",pecah belah bangsa milu 2024 tokohtokoh satu bangsa prabowo prabowopemersatubangkitbersamaprabowosubianto,-3,negative
anjar is the real petugas partai spt kebo yg dicucuk hidungnya manut wae ke mamak banteng khirnya misteri siapa yg sebenarnya sbg petugas partai terkuak menjelang pemilu  hanks od ternyata uhan msh sayang ndonesia ditunjukan tokoh yg anti semit,"['milu', '2024', 'tokohtokoh', 'prabowo', 'subianto', 'satu', 'bangsaprabowopemersatubangkitbersamaprabowosubianto']",milu 2024 tokohtokoh prabowo subianto satu bangsaprabowopemersatubangkitbersamaprabowosubianto,2,positive
kriukmadu,"['bawaslu', 'partai', 'politik', 'suara', 'gera', 'rakyat', 'antisipasi', 'ganggu', 'jelang', 'milu', '2024', 'milu', '2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju']",bawaslu partai politik suara gera rakyat antisipasi ganggu jelang milu 2024 milu 2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju,1,positive
semanisambeku,"['tegas', 'netralitas', 'asn', 'jelang', 'milu', '2024pemilu2024sesuaitahapan', 'soimah', 'udah', '11', 'coldplay', 'iklan', 'ponds', 'men', 'pagi', 'morningg', 'vitri', 'isa', 'almasih', 'henry', 'subuh', 'origi', 'baeksang', 'exol', 'jungkook', 'renjun', 'onic', 'kristiani']",tegas netralitas asn jelang milu 2024pemilu2024sesuaitahapan soimah udah 11 coldplay iklan ponds men pagi morningg vitri isa almasih henry subuh origi baeksang exol jungkook renjun onic kristiani,1,positive
paya yg terstruktur dan masif utk merekayasa hasil pemilu  oleh rejim si jokowi planga plongoyg diduking yahudi dan pki,"['jelang', 'milu', '2024', 'pengaruh', 'hoakspemilu', '2024sesuaitahapan', 'soimah', 'udah', '11', 'coldplay', 'iklan', 'ponds', 'men', 'pagi', 'morningg', 'vitri', 'isa', 'almasih', 'henry', 'subuh', 'origi', 'baeksang', 'exol', 'jungkook', 'renjun', 'onic', 'kristiani']",jelang milu 2024 pengaruh hoakspemilu 2024sesuaitahapan soimah udah 11 coldplay iklan ponds men pagi morningg vitri isa almasih henry subuh origi baeksang exol jungkook renjun onic kristiani,2,positive
oyesung,"['temanpemilih', 'rekapitulasi', 'daftar', 'pilih', 'dps', 'milu', '2024oleh', 'kpu', 'kabupaten', 'demakkpumelayanipemiluserentak', '2024ppsbolo2024']",temanpemilih rekapitulasi daftar pilih dps milu 2024oleh kpu kabupaten demakkpumelayanipemiluserentak 2024ppsbolo2024,-4,negative
tk mersih elaktibilitas pemilu  dari yg kecewa u  dibatalkan  dan dari pendukung israel,"['warning', 'kuwu', 'asn', 'netral', 'milu', '2024', 'sanksi', 'dipidanapemilu', '2024sesuaitahapan', 'soimah', 'udah', '11', 'coldplay', 'iklan', 'ponds', 'men', 'pagi', 'morningg', 'vitri', 'isa', 'almasih', 'henry', 'subuh', 'origi', 'baeksang', 'exol', 'jungkook', 'renjun', 'onic', 'kristiani']",warning kuwu asn netral milu 2024 sanksi dipidanapemilu 2024sesuaitahapan soimah udah 11 coldplay iklan ponds men pagi morningg vitri isa almasih henry subuh origi baeksang exol jungkook renjun onic kristiani,-2,negative
ada partai baru,"['jelang', 'milu', '2024', 'bawaslu', 'hak', 'wajib', 'warga', 'negarapemilu', '2024sesuaitahapan', 'soimah', 'udah', '11', 'coldplay', 'iklan', 'ponds', 'men', 'pagi', 'morningg', 'vitri', 'isa', 'almasih', 'henry', 'subuh', 'origi', 'baeksang', 'exol', 'jungkook', 'renjun', 'onic', 'kristiani']",jelang milu 2024 bawaslu hak wajib warga negarapemilu 2024sesuaitahapan soimah udah 11 coldplay iklan ponds men pagi morningg vitri isa almasih henry subuh origi baeksang exol jungkook renjun onic kristiani,-1,negative
artai akyat dil akmur,"['kpu', 'bawaslu', 'partai', 'politik', 'tlh', 'suara', 'gera', 'rakyat', 'utk', 'antisipasi', 'timbul', 'ganggu', 'masyarakat', 'jelang', 'milu', '2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024kpubawaslu']",kpu bawaslu partai politik tlh suara gera rakyat utk antisipasi timbul ganggu masyarakat jelang milu 2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024kpubawaslu,-2,negative
ayang gak lolos seleksi peserta pemilu,"['bimtek', 'lapor', 'pertanggungjawaban', 'uang', 'dana', 'tahap', 'milu', '2024', 'pps', 'laksana', 'ppk', 'camat', 'aula', 'camat', 'wonosalamtemanpemilihkpumelayanikpujatengkpudemakpemilusaranaintegrasibangsapemilu', '2024']",bimtek lapor pertanggungjawaban uang dana tahap milu 2024 pps laksana ppk camat aula camat wonosalamtemanpemilihkpumelayanikpujatengkpudemakpemilusaranaintegrasibangsapemilu 2024,6,positive
oni etiyawanbersama petani  propinsi semakin mantab dan lancar menuju pemilu wa dukungan,"['dukung', 'netralitas', 'asn', 'milu', '2024tidakadapenundaanpemilu', 'milu', '2024tepatwaktu', 'pemilukondusif']",dukung netralitas asn milu 2024tidakadapenundaanpemilu milu 2024tepatwaktu pemilukondusif,4,positive
uat u,"['kpu', 'bawaslu', 'partai', 'politik', 'suara', 'gera', 'rakyat', 'antisipasi', 'timbul', 'ganggu', 'masyarakat', 'jelang', 'milu', '2024', 'milu', '2024sesuaitahapantolakpenundaanpemilantipolitikidentitastolakpolitikmasjidpemilu2024']",kpu bawaslu partai politik suara gera rakyat antisipasi timbul ganggu masyarakat jelang milu 2024 milu 2024sesuaitahapantolakpenundaanpemilantipolitikidentitastolakpolitikmasjidpemilu2024,-2,negative
ni strategi klasik yg diulang setiap pemilu,"['antarkelompok', 'masyarakat', 'milu', '2024', 'prabowopemersatubangkitbersamaprabowosubianto']",antarkelompok masyarakat milu 2024 prabowopemersatubangkitbersamaprabowosubianto,0,neutral
asihan juga anita mas ini sudah diajal âverifikasi faktualâ? oleh etua  ke unung alak hingga orobudur hotel tapi partainya tak lolos jadi peserta pemilu,"['aji', 'indonesia', 'dukung', 'google', 'news', 'initiative', 'gni', 'selenggara', 'rangkai', 'webinar', 'jelang', 'milu', '2024', 'webinar', 'tiga', 'nali', 'model', 'bentuk', 'ganggu', 'informasi', 'milu', 'laksana', 'selasa', '11', 'april', '2023', '14001600', 'wib', 'zoom', 'youtube']",aji indonesia dukung google news initiative gni selenggara rangkai webinar jelang milu 2024 webinar tiga nali model bentuk ganggu informasi milu laksana selasa 11 april 2023 14001600 wib zoom youtube,9,positive
lurnya masalah di  jelas suatu   konspirasi utk tundabatalkan pemilu  demi perpanjangan masa jabatan kw,"['mari', 'aktif', 'jaga', 'situasi', 'kondusif', 'lancar', 'milu', '2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjid']",mari aktif jaga situasi kondusif lancar milu 2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjid,3,positive
iat anget ya mendegradasi nies aswedan dari segala lini,"['kpu', 'bawaslu', 'partai', 'politik', 'suara', 'gera', 'rakyat', 'antisipasi', 'timbul', 'ganggu', 'masyarakat', 'jelang', 'milu', '2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjid']",kpu bawaslu partai politik suara gera rakyat antisipasi timbul ganggu masyarakat jelang milu 2024pemilu2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjid,-2,negative
erjaan siapa coba nih,"['perrpu', 'milu', '2024', 'sah', 'undang', 'undang', 'laksana', 'milu', 'jalan', 'sesuai', 'tahap', 'aparatur', 'negara', 'netral', 'selenggara', 'milu', '2024tidakadapenundaanpemilu', 'milu', '2024tepatwaktupemilukondusif']",perrpu milu 2024 sah undang undang laksana milu jalan sesuai tahap aparatur negara netral selenggara milu 2024tidakadapenundaanpemilu milu 2024tepatwaktupemilukondusif,10,positive
ak bisakan lawan secara entle,"['milu', '2024', 'jalan', 'tahapanpemilu', '2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju']",milu 2024 jalan tahapanpemilu 2024sesuaitahapantolakpenundaanpemiluantipolitikidentitastolakpolitikmasjidpemilu2024pilpres2024capres2024kpubawasluindonesiamaju,0,neutral
